Year,Type,Original funding cluster,Original funding cluster description,Original part of funding cluster,2020 funding cluster,2020 funding cluster description,Broad field of education,Student enrolments: commencing students,Student enrolments: not commencing students,Award course completions,Study area name,FTE +1yr (%),Overall Empl. +1yr (%),Median starting salary +1yr ($),Part funding cluster,Unit description,Field of education code,Maximum student contribution amounts,Commonwealth contribution amounts
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,520","81,336","22,535",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce",Business and Management,803,"$8,677","$1,709"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,520","81,336","22,535",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce",Office Studies,809,"$8,677","$1,709"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,520","81,336","22,535",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce",Other Management and Commerce,899,"$8,677","$1,709"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,520","81,336","22,535",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce",Sales and Marketing,805,"$8,677","$1,709"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Society and Culture,"49,148","98,694","26,196",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce",Economics and Econometrics,919,"$8,677","$1,709"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"17,356","30,143","9,972",Communications,62.2,87.8,39,Communications,Communication and Media Studies,1007,"$5,201","$10,317"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Information Technology,"5,900","12,001","3,001",Computing and Information Systems,73.2,86.7,50,"Computing, built environment or other health",Computer Science,201,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Information Technology,"5,900","12,001","3,001",Computing and Information Systems,73.2,86.7,50,"Computing, built environment or other health",Information Systems,203,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Information Technology,"5,900","12,001","3,001",Computing and Information Systems,73.2,86.7,50,"Computing, built environment or other health",Other Information Technology,299,"$7,412","$8,389"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"17,356","30,143","9,972",Creative Arts,53.2,87.4,38,Creative arts,Graphic and Design Studies,1005,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"17,356","30,143","9,972",Creative Arts,53.2,87.4,38,Creative arts,Other Creative Arts,1099,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"17,356","30,143","9,972",Creative Arts,53.2,87.4,38,Creative arts,Performing Arts,1001,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Creative Arts,"17,356","30,143","9,972",Creative Arts,53.2,87.4,38,Creative arts,Visual Arts and Crafts,1003,"$5,201","$10,317"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture","Dentistry, medicine or veterinary science",Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"30,952","60,530","18,423",Dentistry,90.5,97.2,75,"Dentistry, medicine or veterinary science",Dental Studies,607,"$8,677","$18,610"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Aerospace Engineering and Technology,315,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Automotive Engineering and Technology,305,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Civil Engineering,309,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Electrical and Electronic Engineering and Technology,313,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Geomatic Engineering,311,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Manufacturing Engineering and Technology,301,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Maritime Engineering and Technology,317,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Mechanical and Industrial Engineering and Technology,307,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Other Engineering and Related Technologies,399,"$7,412","$14,664"
2009,Old,Funding cluster 6,"Engineering, science, surveying",Engineering or surveying,Funding cluster 7,"Engineering, science, surveying",Engineering and Related Technologies,"12,052","30,674","6,063",Engineering,82.7,90,56,"Science, Engineering or surveying",Process and Resources Engineering,303,"$7,412","$14,664"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Behavioural science or social studies,Human Movement,69903,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Community Health,61309,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Complementary Therapies,619,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Environmental Health,61303,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Epidemiology,61311,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",First Aid,69907,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Health not elsewhere classified,69999,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Health Promotion,61307,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Massage Therapy,61711,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Occupational Health and Safety,61301,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Other Health,69900,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Public Health,61300,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Public Health not elsewhere classified,61399,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Rehabilitation Therapies,61700,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,"Computing, built environment or other health",Rehabilitation Therapies not elsewhere classified,61799,"$7,412","$8,389"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Audiology,61709,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Chiropractic and Osteopathy,61705,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Indigenous Health,61305,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Nutrition and Dietetics,69901,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Optical Science,609,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Paramedical Studies,69905,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Podiatry,61713,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Radiography,615,"$7,412","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts",Allied health,Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Health,"30,952","60,530","18,423",Health Services and Support,75.9,,,Allied health,Speech Pathology,61707,"$7,412","$10,317"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,English,English Language,91501,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Archaeology,90307,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,History,90305,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Indigenous Studies,90311,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Language and Literature,91500,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Language and Literature not elsewhere classified,91599,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Linguistics,91521,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Literature,91523,"$5,201","$4,743"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Humanities,Philosophy and Religious Studies,917,"$5,201","$4,743"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Anthropology,90303,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Gender Specific Studies,90313,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Human Geography,90309,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,"Librarianship, Information Management and Curatorial Studies",913,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Other Society and Culture,999,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Political Science and Policy Studies,901,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Sociology,90301,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Studies in Human Society,90300,"$5,201","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health",Behavioural science or social studies,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Behavioural science or social studies,Studies in Human Society not elsewhere classified,90399,"$5,201","$8,389"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Australian Indigenous Languages,91517,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Eastern Asian Languages,91515,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Eastern European Languages,91507,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Northern European Languages,91503,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Southeast Asian Languages,91513,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Southern Asian Languages,91511,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Southern European Languages,91505,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Southwest Asian and North African Languages,91509,"$5,201","$10,317"
2009,Old,Funding cluster 4,"Clinical psychology, allied health, foreign languages, visual and performing arts","Clinical psychology, foreign languages, or visual and performing arts",Funding cluster 5,"Clinical psychology, allied health, foreign languages, visual and performing arts",Society and Culture,"49,148","98,694","26,196","Humanities, Culture and Social Sciences",68,88.5,46,Languages,Translating and Interpreting,91519,"$5,201","$10,317"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Society and Culture,"49,148","98,694","26,196",Law and Paralegal Studies,80.8,93.2,48,"Law, accounting, administration, economics, commerce",Law,909,"$8,677","$1,709"
2009,Old,Funding cluster 2,Humanities,Humanities,Funding cluster 2,Humanities,Society and Culture,"49,148","98,694","26,196",Law and Paralegal Studies,80.8,93.2,48,Humanities,Justice and Law Enforcement,911,"$5,201","$4,743"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Health,"30,952","60,530","18,423",Medicine,97.3,98.2,56,Agriculture,Pathology,60113,"$7,412","$18,610"
